_id,_name,_industry,_sector,_headquarters,_founded
735,Orion Corporation,Health care,Pharmaceuticals,Espoo,1917
736,Outokumpu,Basic materials,Iron & steel,Helsinki,1932
737,Outotec,Industrials,Business support services,Espoo,2006
738,Patria,Industrials,Defense,Helsinki,1997
739,Planmeca,Health care,Medical equipment,Helsinki,1971
740,Pohjolan Voima,Utilities,Alternative electricity,Helsinki,1943
741,Polar Electro,Consumer goods,Recreational products,Kempele,1977
742,Ponsse Corporation,Industrials,Commercial vehicles & trucks,Vierem�,1970
743,Posiva,Industrials,Waste & disposal services,Eurajoki,1995
744,Posti Group,Logistics,Delivery services,Helsinki,1638
745,P�yry,Industrials,Business support services,Vantaa,1958
746,Process Vision,Technology,Business support services,Helsinki,1993
747,Raisio Group,Consumer goods,Food products,Raisio,1939
748,Rautaruukki,Industrials,Building materials & fixtures,Helsinki,1960
749,Rovio Entertainment,Technology,Software,Espoo,2003
750,S Group,Consumer services,Hotels,Helsinki,1904
751,Sampo Group,Financials,Full line insurance,Helsinki,1909
752,Sanoma,Consumer services,Publishing,Helsinki,1999
753,Silja Line,Industrials,Marine transportation,Helsinki,1957
754,Sisu Auto,Industrials,Commercial vehicles & trucks,Helsinki,1931
755,Solidium,Financials,Investment services,Helsinki[7],2008
756,SSH Communications Security,Technology,Software,Helsinki,1995
757,St1,Oil & gas,Exploration & production,Helsinki,1995
758,Stenfors,Industrials,Heavy construction,Oulu,1969
759,Stockmann,Consumer services,Broadline retailers,Helsinki,1862
760,Stonesoft Corporation,Technology,Software,Helsinki,1990
761,Stora Enso,Basic materials,Paper,Helsinki,1998
762,Suominen Corporation,Consumer goods,Clothing & accessories,Helsinki,1898
763,Supercell,Technology,Software,Helsinki,2010
764,Suunto,Consumer goods,Recreational services,Vantaa,1936
765,Talvivaara Mining Company,Basic materials,Nonferrous metals,Espoo,2004
766,Tieto,Technology,Software,Helsinki,1968
767,Tikkurila,Basic materials,Commodity chemicals,Vantaa,1862
768,UPM-Kymmene,Basic materials,Paper,Helsinki,1996
769,Vacon,Industrials,Electrical components & equipment,Vaasa,1993
770,Vaisala,Technology,Software,Vantaa,1936
771,Valio,Consumer goods,Food products,Helsinki,1905
772,Valmet Automotive,Consumer goods,Automobiles,Uusikaupunki,1968
773,Valmet,Industrials,Industrial machinery,Espoo,2013
774,Valtra,Industrials,Commercial vehicles & trucks,��nekoski,1951
775,Verkkokauppa.com,Consumer services,Broadline retailers,Helsinki,1992
776,Viking Line,Industrials,Marine transportation,Mariehamn,1963
777,VR,Industrials,Railroads,Helsinki,1862
778,W�rtsil�,Industrials,Electronic equipment,Helsinki,1834
779,Woikoski,Basic materials,Basic resources,Voikoski[8],1882
780,YIT,Industrials,Heavy construction,Helsinki,1912
781,Accor,Consumer services,Hospitality,Paris,1967
782,A�ropostale,Consumer services,Airlines,Toulouse,1918
783,A�rospatiale-Matra,Industrials,Defense,Paris[7],1999
784,Air France,Consumer services,Airlines,Tremblay-en-France,1933
785,Air France�KLM,Consumer services,Airlines,Tremblay-en-France,2004
786,Airbus,Industrials,Aerospace,Toulouse,1970
787,Air Liquide,Industrial,Chemical,Paris,1902
788,Alcatel-Lucent,Technology,Telecommunications equipment,Boulogne-Billancourt,2006
789,Ales Groupe,Consumer goods,Personal products,Paris,1969
790,Alstom,Industrials,Railroads,Saint-Ouen,1928
791,Altran,Industrials,Business support services,Paris,1982
792,Amaury Sport Organisation,Consumer services,Recreational services,Issy-les-Moulineaux,1992[8]
793,ArianeGroup,Industrials,Aerospace & defense,Issy-les-Moulineaux,2015
794,Arianespace,Industrials,Aerospace,Courcouronnes,1980
795,Arkane Studios,Technology,Software,Lyon,1999
796,Arte,Consumer services,Broadcasting & entertainment,Strasburg,1991
797,Astrium,Industrials,Aerospace,Paris,2006
798,AT Internet,Technology,Internet,Bordeaux,1995
799,Atari SA,Technology,Software,Paris,1983
800,Atisreal,Financials,Real estate services,Levallois-Perret,2003
801,Atos,Technology,Software,Bezons,1988
802,Auchan,Consumer services,Food retailers & wholesalers,Croix,1961
803,Axa,Financials,Full line insurance,Paris,1817
804,Babolat,Consumer goods,Recreational products,Lyon,1875
805,Baccarat,Consumer goods,Durable household products,Paris,1764
806,Banijay,Consumer services,Broadcasting & entertainment,Paris,2008
807,Banque de l'Indochine,Financials,Banks,Paris,1875
808,Bel Group,Consumer goods,Food products,Paris,1865
809,BNP Paribas,Financials,Banks,Paris,1848
810,Bollor�,Industrials,Delivery services,Puteaux,1822
811,Bonduelle,Consumer goods,Food products,Villeneuve d'Ascq,1853
812,Bouygues Telecom,Telecommunications,Mobile telecommunications,Paris,1994
813,Bouygues,Conglomerates,-,Paris,1952
814,Brittany Ferries,Industrials,Marine transportation,Roscoff,1972
815,Bugatti Automobiles,Consumer goods,Automobiles,Molsheim,1998
816,Canal+,Consumer services,Broadcasting & entertainment,Issy-les-Moulineaux,1984
817,Capgemini,Industrials,Business support services,Paris,1967
818,Carrefour,Consumer services,Food retailers & wholesalers,Boulogne-Billancourt,1958
819,Cartier,Consumer goods,Clothing & accessories,Saint-Ouen,1847
820,Celio,Consumer services,Apparel retailers,Paris,1978
821,Chanel,Consumer goods,Clothing & accessories,Neuilly-sur-Seine,1909
822,Chantelle,Consumer goods,Clothing & accessories,Cachan,1876
823,Christian Dior SE,Consumer goods,Clothing & accessories,Paris,1946
824,Citro�n,Consumer goods,Automobiles,Rueil-Malmaison,1919
825,CMA CGM,Industrials,Delivery services,Marseille,1978
826,Com One group,Technology,Telecommunications equipment,Cestas,1987
827,Cr�dit Agricole,Financials,Banks,Montrouge,1894
828,Cr�dit Commercial de France,Financials,Banks,Paris,1894
829,Cr�dit Mutuel,Financials,Banks,Paris,1882
830,Conforama,Consumer services,Retail,Saint-Priest,1967
831,Cr�dit Foncier de France,Financials,Banks,Charenton-le-Pont,1852
832,Cr�dit Lyonnais,Financials,Banks,Paris,1863
833,Criteo,Technology,Internet,Paris,2005
834,Danone,Consumer goods,Food products,Paris,1919
835,Dassault Aviation,Industrials,Defense,Paris,1929
836,Dassault Syst�mes,Technology,Software,V�lizy-Villacoublay,1981
837,Debacq & Cie,Consumer goods,Clothing & accessories,Paris,1812
838,Decathlon,Consumer goods,Clothing & accessories,Villeneuve-d'Ascq,1976
839,Dexia,Financials,Banks,Paris,1996
840,Diptyque,Consumer goods,Personal products,Paris,1961
841,Edenred,Industrials,Specialized consumer services,Paris,2010
842,�ditions Philippe Amaury,Consumer services,Publishing,Boulogne-Billancourt,1944
843,Eisenberg Paris,Consumer goods,Personal products,Paris,2000
844,�lectricit� de France (EDF),Utilities,Conventional electricity,Paris,1946
845,Elf Aquitaine,Oil & gas,Exploration & production,Courbevoie[9],1967
846,Engie,Utilities,Electricity generation,La D�fense,2008
847,EssilorLuxottica,Health care,Health care equipment,Charenton-le-Pont,1849
848,Eutelsat,Telecommunications,Mobile telecommunications,Paris,1977
849,Fnac,Consumer services,Specialty retailers,Ivry-sur-Seine,1954
850,Framatome,Nuclear industries,Nuclear engineering,Courbevoie,1958
851,Free,Telecommunications,Fixed line telecommunications,Paris,1999
852,Galeries Lafayette,Consumer services,Broadline retailers,Paris,1912
853,Gameloft,Technology,Software,Paris,2000
854,Gandi,Technology,Internet,Paris,1999
855,Gaumont,Consumer services,Broadcasting & entertainment,Neuilly-sur-Seine,1895
856,Genset,Health care,Biotechnology,Paris,1989
857,Getlink,Industrials,Transportation services,Paris,1986
858,Groupe BPCE,Financials,Banks,Paris,2009
859,Groupe Bull,Technology,Computer hardware,Les Clayes-sous-Bois,1931
860,Groupe Casino,Consumer services,Broadline retailer,Saint-�tienne,1898
861,Hachette,Consumer services,Publishing,Paris,1826
862,Hachette Filipacchi M�dias,Consumer services,Publishing,Paris,1826
863,Havas,Consumer services,Media agencies,Paris,1968
864,Herm�s,Consumer goods,Clothing & accessories,Paris,1837
865,Hutchinson SA,Industrials,Diversified industrials,Paris,1853
866,Iliad SA,Telecommunications,Fixed line telecommunications,Paris,1990
867,JCDecaux,Industrials,Electronic equipment,Neuilly-sur-Seine,1964
868,Keolis,Consumer services,Travel & tourism,Paris,2001
869,Kering,Consumer goods,Clothing & accessories,Paris,1963
870,La Poste,Industrials,Delivery services,Paris,1991
871,Laboratoires Pierre Fabre,Health care,Pharmaceuticals,Paris,1951
872,Lacoste,Consumer goods,Clothing & accessories,Troyes,1933
873,Lactalis,Consumer goods,Food products,Laval,1933
874,Lafarge,Industrials,Building materials & fixtures,Paris,1833
875,Lafuma,Consumer goods,Recreational products,Paris,1930
876,Lagard�re Group,Consumer services,Broadcasting & entertainment,Paris,1922
877,Lanc�me,Consumer goods,Personal products,Paris,1935
878,Le Coq Sportif,Consumer goods,Clothing & accessories,Entzheim,1882
879,Le Z�bre,Consumer goods,Automobiles,Suresnes,1907
880,L'Or�al,Consumer goods,Personal products,Clichy,1909
881,Louis Vuitton,Consumer goods,Clothing & accessories,Paris,1854
882,LVMH,Consumer goods,Clothing & accessories,Paris,1987
883,Mandriva,Technology,Software,Paris,1995
884,Manuloc,Industrials,Logistics,Metz,1964
885,Maritima Ferries,Industrials,Marine transportation,Marseille,1969
886,Matra Marconi Space,Industrials,Aerospace,Toulouse,1996
887,Matra,Consumer goods,Automobiles,Romorantin-Lanthenay,1964
888,Mavic,Consumer goods,Recreational products,Annecy,1889
889,MC2 France,Technology,Software,Montrouge,1985
890,Michelin,Consumer goods,Tires,Clermont-Ferrand,1889
891,Micro�ds,Technology,Software,Montreuil,1984
892,Montagut,Consumer goods,Clothing & accessories,Saint-Sauveur-de-Montagut,1880
893,MoonScoop Group,Consumer services,Broadcasting & entertainment,Paris,2003
894,Naval Group,Industrials,Defense,Paris,1631
895,NicOx,Health care,Pharmaceuticals,Valbonne,1996
896,Norauto,Consumer goods,Auto parts,Lesquin,1970
897,Orange S.A.,Telecommunications,Mobile telecommunications,Paris,1988
898,Orano,Nuclear industries,Nuclear cycle,Courbevoie,2017
899,Oxbow,Consumer goods,Recreational products,M�rignac,1985
900,Parrot SA,Industrials,Diversified industrials,Paris,1994
901,Path�,Consumer services,Broadcasting & entertainment,Paris,1896
902,Pentalog,Industrials,Business support services,Orl�ans,1993
903,Pernod Ricard,Consumer goods,Distillers & vintners,Paris,1975
904,Peugeot,Consumer goods,Automobiles,Rueil-Malmaison,1810
905,PSA Group,Consumer goods,Automobiles,Rueil-Malmaison,1976
906,Publicis,Industrials,Business support services,Paris,1926
907,Quantic Dream,Technology,Software,Paris,1997
908,RATP Group,Consumer services,Travel & tourism,Paris,1948
909,Renault,Consumer goods,Automobiles,Boulogne-Billancourt,1899
910,Rexel,Industrials,Electrical components & equipment,Paris,1967
911,Rhodia,Basic materials,Specialty chemicals,La D�fense,1998
912,Rh�ne-Poulenc,Basic materials,Specialty chemicals,Paris,1928
913,Safran,Industrials,Aerospace,Paris,2005
914,SAGEM,Technology,Telecommunications equipment,Paris,1924
915,Saint-Gobain,Industrials,Building materials & fixtures,La D�fense,1665
916,Salomon Group,Consumer goods,Recreational products,�pagny-Metz-Tessy,1947
917,Sanofi,Health care,Pharmaceuticals,Paris,2004
918,Schneider Electric,Industrials,Electrical components & equipment,Rueil-Malmaison,1836
919,SDV International Logistics,Industrials,Delivery services,Puteaux,1885
920,Sephora,Consumer services,Specialty retailers,Paris,1969
921,Servier,Health care,Pharmaceuticals,Suresnes,1954
922,SFR,Telecommunications,Fixed line telecommunications,Paris,1987
923,Sigfox,Technology,Telecommunications equipment,Lab�ge,2009
924,SNCF,Consumer services,Travel & tourism,Saint-Denis,1938
925,Snecma,Industrials,Aerospace,Courcouronnes,1945
926,Soci�t� Bic,Consumer goods,Nondurable household products,Clichy,1945
927,Soci�t� G�n�rale,Financials,Banks,La D�fense,1864
928,Sodexo,Industrials,Specialized consumer services,Issy-les-Moulineaux,1966
929,Sogeti,Technology,Software,Paris,2002
930,Sopra Steria,Technology,Software,Annecy,1968
931,Suez,Utilities,Multiutilities,Paris,1997
932,Technicolor SA,Consumer services,Broadcasting & entertainment,Issy-les-Moulineaux,1893
933,Technip,Industrials,Business support services,Paris,1958
934,TF1 Group,Consumer services,Broadcasting & entertainment,Boulogne-Billancourt,1987
935,Thales Group,Industrials,Aerospace,La D�fense,2000
936,Thomson-CSF,Industrials,Defense,Paris,1879
937,TotalEnergies,Oil & gas,Integrated oil & gas,Courbevoie,1924
938,Ubisoft,Technology,Software,Rennes,1986
939,Veolia,Utilities,Water,Paris,1853
940,Vinci SA,Industrials,Heavy construction,Rueil-Malmaison,1899
941,Vivendi,Consumer services,Broadcasting & entertainment,Paris,1853
942,Waterman,Consumer goods,Nondurable household products,Paris,1884
943,Yoplait,Consumer goods,Food products,Boulogne-Billancourt,1965
944,A. Lange & S�hne,Consumer goods,Clothing & accessories,Glash�tte,1845
945,Aareal Bank,Financials,Banks,Wiesbaden,1922
946,Adidas,Consumer goods,Clothing & accessories,Herzogenaurach,1924
947,Aldi,Consumer services,Food retailers & wholesalers,Essen,1913
948,Allianz,Financials,Full line insurance,Munich,1890
949,Alpina,Consumer goods,Automobiles,Buchloe,1965
950,Altana,Basic materials,Speciality chemicals,Wesel,1977
951,Aral AG,Consumer services,Specialty retailers,Bochum,1898
952,ARAG SE,Financials,Full line insurance,D�sseldorf,1935
953,Arburg,Industrials,Industrial machinery,Lo�burg,1923
954,Arcandor,Consumer services,Broadline retailers,Essen,1999
955,Arcor,Telecommunications,Fixed line telecommunications,Eschborn,1996
956,Armedangels,Consumer goods,Clothing & accessories,Cologne,2007
957,Audi,Consumer goods,Automobiles,Ingolstadt,1910
958,August Storck,Consumer goods,Food products,Berlin,1903
959,Aurubis,Basic materials,Nonferrous metals,Hamburg,2008
960,Auto Union,Consumer goods,Automobiles,Neckarsulm,1932
961,Axel Springer AG,Consumer services,Publishing,Berlin,1946
962,B. Braun,Health care,Pharmaceuticals,Melsungen,1839
963,Babelsberg Studio,Consumer services,Broadcasting & entertainment,Potsdam,1912
964,Bahlsen,Consumer goods,Food products,Hanover,1889
965,BASF,Basic materials,Speciality chemicals,Ludwigshafen,1865
966,Bavaria Film Studios,Consumer services,Broadcasting & entertainment,Gr�nwald,1919
967,Bayer,Health care,Pharmaceuticals,Leverkusen,1863
968,BayWa,Consumer goods,Farming & fishing,Munich,1923
969,BBS Kraftfahrzeugtechnik,Consumer goods,Auto parts,Schiltach,1970
970,Bechtle,Technology,Software,Neckarsulm,1983
971,Beck's Brewery,Consumer goods,Brewers,Bremen,1873
972,Behr GmbH & Co. KG,Industrials,Industrial suppliers,Stuttgart,1905
973,Behringer,Consumer goods,Consumer electronics,Willich,1989
974,Beiersdorf,Consumer goods,Personal products,Hamburg,1882
975,Bellevue Investments,Technology,Software,Berlin,1993
976,Benecke-Kaliko,Industrials,Industrial suppliers,Hanover,1718
977,Bertelsmann,Consumer services,Broadcasting & entertainment,G�tersloh,1835
978,Beyerdynamic,Consumer goods,Consumer electronics,Heilbronn,1924
979,Bilfinger,Industrials,Heavy construction,Mannheim,1880
980,Birkenstock,Consumer goods,Clothing & accessories,Neustadt,1774
981,Bitburger Brewery,Consumer goods,Brewers,Bitburg,1817
982,BioNTech,Healthcare,Vaccine,Mainz,2008
983,Blohm+Voss,Industrials,Commercial vehicles & trucks,Hamburg,1877
984,BMG Rights Management,Consumer services,Broadcasting & entertainment,Berlin,2008
985,BMW,Consumer goods,Automobiles,Munich,1916
986,Boehringer Ingelheim,Health care,Pharmaceuticals,Ingelheim am Rhein,1885
987,BOMAG,Industrials,Commercial vehicles & trucks,Boppard,1957
988,Brabus,Consumer services,Specialty retailers,Bottrop,1977
989,Braun,Consumer goods,Personal products,Kronberg,1921
990,Brenntag,Basic materials,Commodity chemicals,M�lheim,1874
991,C. Bechstein,Consumer goods,Recreational products,Berlin,1853
992,C. Illies & Co.,Industrials,Business support services,Hamburg,1859
993,Carl Walther GmbH,Industrials,Defense,Ulm,1886
994,Carl Zeiss AG,Health care,Medical equipment,Oberkochen,1846
995,CureVac,Health care,Vaccine,T�bingen,2000
996,Celesio,Health care,Pharmaceuticals,Stuttgart,1835
997,CineStar,Consumer services,Recreational services,L�beck,1948
998,Circus Krone,Consumer services,Broadcasting & entertainment,Munich,1905
999,Claas,Industrials,Commercial vehicles & trucks,Harsewinkel,1913
1000,Commerzbank,Financials,Banks,Frankfurt,1870
1001,Condor Flugdienst,Consumer services,Airlines,Frankfurt,1955
1002,Continental AG,Industrials,Industrial suppliers,Hanover,1871
1003,Covestro,Basic materials,Speciality chemicals,Leverkusen,2015
1004,Daimler AG,Consumer goods,Automobiles,Stuttgart,2007
1005,Dba,Consumer services,Airlines,Munich,1992
1006,Delton,Conglomerates,-,Bad Homburg vor der H�he,1989
1007,Der Spiegel,Consumer services,Publishing,Hamburg,1947
1008,Deutsche Bahn,Industrials,Railroads,Berlin,1994
1009,Deutsche Bank,Financials,Banks,Frankfurt,1870
1010,Deutsche B�rse,Financials,Investment services,Frankfurt,1992
1011,Deutsche Grammophon,Consumer goods,Broadcasting & entertainment,Hanover,1898
1012,Deutsche Messe,Consumer services,Recreational services,Hanover,1947
1013,Deutsche Pfandbriefbank,Financials,Banks,Unterschlei�heim,2015
1014,Deutsche Post,Industrials,Delivery services,Bonn,1995
1015,Deutsche Telekom,Telecommunications,Fixed line telecommunications,Bonn,1995
1016,Deutsche Verm�gensberatung,Financials,Asset managers,Frankfurt,1975
1017,Deutz AG,Industrials,Industrial machinery,Cologne,1864
1018,DHL Express,Industrials,Delivery services,Bonn,1969
1019,Dieffenbacher,Industrials,Industrial machinery,Eppingen,1873
1020,Diehl Aerospace,Industrials,Aerospace,�berlingen,2006
1021,Diehl Defence,Industrials,Defense,�berlingen,2004
1022,Diehl Metall,Industrials,Industrial machinery,R�thenbach an der Pegnitz,1938
1023,Diezel,Consumer goods,Recreational products,Bad Steben,1994
1024,Djshop,Consumer services,Broadcasting & entertainment,Vachendorf,1993
1025,DKW,Consumer goods,Automobile,?,1905
1026,Douglas Holding,Consumer services,Specialty retailers,Hagen,1949
1027,DOVO Solingen,Consumer goods,Personal products,Solingen,1906
1028,Dr. Oetker,Consumer goods,Food products,Bielefeld,1891
1029,Dr�ger,Health care,Medical equipment,L�beck,1889
1030,Dresdner Bank,Financials,Banks,Frankfurt,1872
1031,D�rr AG,Industrials,Industrial machinery,Stuttgart,1895
1032,DVB Bank,Financials,Banks,Frankfurt,1923
1033,E.ON,Utilities,Electricity,Essen,2000
1034,Eberhard Faber,Consumer goods,Nondurable household products,Neumarkt in der Oberpfalz,1922
1035,ebm-papst,Industrials,Industrial machinery,Mulfingen,1963
1036,edding,Consumer goods,Nondurable household products,Ahrensburg,1960
1037,Edeka,Consumer services,Food retailers & wholesalers,Berlin,1898
1038,ElringKlinger,Industrials,Industrial suppliers,Dettingen an der Erms,1879
1039,EnBW,Utilities,Electricity,Karlsruhe,1997
1040,EnOcean,Consumer goods,Consumer electronics,Oberhaching,2001
1041,Entwicklungsring Nord,Industrials,Aerospace,Bremen,1961
1042,Epcos,Consumer goods,Consumer electronics,Munich,1999
1043,E-Plus,Telecommunications,Mobile telecommunications,D�sseldorf,1992
1044,Eurowings,Consumer services,Airlines,D�sseldorf,1990
1045,Evonik Industries,Basic materials,Speciality chemicals,Essen,2007
1046,Faber-Castell,Consumer goods,Nondurable household products,Stein,1761
1047,Fein,Consumer goods,Durable household products,Schw�bisch Gm�nd,1867
1048,Ferrostaal,Industrials,Industrial machinery,Essen,1920
1049,Festo,Industrials,Industrial machinery,Esslingen am Neckar,1925
1050,Fischertechnik,Consumer goods,Toys,Waldachtal,1966
1051,Fissler,Consumer goods,Durable household products,Idar-Oberstein,1845
1052,Focke-Achgelis,Industrials,Aerospace,Hoykenkamp,1937
1053,Focke-Wulf,Industrials,Aerospace,Bremen,1923
1054,Fond of Bags,Consumer goods,Clothing & accessories,Cologne,2010
1055,Ford Germany,Consumer goods,Automobiles,Cologne,1925
1056,Ford of Europe,Consumer goods,Automobiles,Cologne,1967
1057,Franz Haniel & Cie.,Conglomerates,-,Duisburg,1756
1058,Fraport,Industrials,Transportation services,Frankfurt,1924
1059,Freenet.de,Telecommunications,Fixed line telecommunications,B�delsdorf,2007
1060,Fresenius,Health care,Health care providers,Bad Homburg vor der H�he,1912
1061,Fresenius Medical Care,Health care,Health care providers,Bad Homburg vor der H�he,1996
1062,Freudenberg Group,Conglomerates,-,Weinheim,1849
1063,FRoSTA,Consumer goods,Food products,Bremerhaven,1905
1064,Fuchs Petrolub,Basic materials,Speciality chemicals,Mannheim,1931
1065,Gardena,Consumer goods,Durable household products,Ulm,1961
1066,GEA Group,Industrials,Industrial machinery,D�sseldorf,1881
1067,Gebr�der Thonet,Consumer goods,Furnishings,Frankenberg,1853
1068,Germanwings,Consumer services,Airlines,Cologne,2002
1069,Gerolsteiner Brunnen,Consumer goods,Beverages,Gerolstein,1888
1070,Gerresheimer,Industrials,Containers & packaging,D�sseldorf,1864
1071,Getrag,Industrials,Industrial suppliers,Untergruppenbach,1935
1072,GfK AG,Industrials,Business support services,Nuremberg,1934
1073,GPC Biotech,Health care,Biotechnology,Martinsried,1997
1074,Grundig,Consumer goods,Consumer electronics,Nuremberg,1930
1075,Gruner + Jahr,Consumer services,Publishing,Hamburg,1965
1076,Hama Photo,Consumer goods,Consumer electronics,Monheim,1923
1077,Hamburg S�d,Industrials,Marine transportation,Hamburg,1871
1078,Hamburger Flugzeugbau,Industrials,Aerospace,Hamburg,1933
1079,Hannover Re,Financials,Reinsurance,Hanover,1966
1080,Hapag-Lloyd,Industrials,Marine transportation,Hamburg,1970
1081,Haribo,Consumer goods,Food products,Bonn,1920
1082,Heckler & Koch,Industrials,Defense,Oberndorf am Neckar,1948
1083,HeidelbergCement,Industrials,Building materials & fixtures,Heidelberg,1874
1084,Heidelberger Druckmaschinen,Industrials,Industrial machinery,Heidelberg,1850
1085,Heinkel,Industrials,Aerospace,Warnem�nde,1922
1086,Hella,Industrials,Industrial suppliers,Lippstadt,1899
1087,Henkel,Conglomerates,-,D�sseldorf,1876
1088,Heraeus,Industrials,Industrial machinery,Hanau,1851
1089,Herrenknecht,Industrials,Industrial machinery,Schwanau,1975
1090,Hochtief,Industrials,Heavy construction,Essen,1874
1091,Hoechst,Basic materials,Specialty chemicals,Frankfurt,1863
1092,Hoesch,Mining,,Dortmund,1871
1093,Horch,Consumer goods,Automobiles,K�ln-Ehrenfeld Cologne,1899
1094,Horv�th & Partners,Industrials,Business support services,Stuttgart,1981
1095,Howaldtswerke-Deutsche Werft,Industrials,Commercial vehicles & trucks,Kiel,1838
1096,Hubert Burda Media,Consumer services,Publishing,Offenburg,1903
1097,Hugo Boss,Consumer goods,Clothing & accessories,Metzingen,1924
1098,HypoVereinsbank,Financials,Financial services,Munich,1998
1099,Hypo Real Estate,Financials,Real estate,Munich,2003
1100,IAV,Industrials,Industrial suppliers,Berlin,1983
1101,IG Farben,Basic materials,Commodity chemicals,Frankfurt,1925
1102,Infineon Technologies,Technology,Semiconductors,Neubiberg,1999
1103,Intershop,Consumer services,Specialty retailers,Berlin,1962
1104,J. A. Henckels,Consumer goods,Durable household products,Solingen,1731
1105,J. Schmalz,Industrials,Industrial machinery,Glatten,1910
1106,Jack Wolfskin,Consumer goods,Recreational products,Idstein,1981
1107,Jako,Consumer goods,Clothing & accessories,Mulfingen,1948
1108,Jenoptik,Industrials,Industrial machinery,Jena,1991
1109,Jil Sander,Consumer goods,Clothing & accessories,Hamburg,1968
1110,Junghans,Consumer goods,Clothing & accessories,Schramberg,1861
1111,Junkers,Industrials,Aerospace,Dessau,1895
1112,K+S,Basic materials,Speciality chemicals,Kassel,1889
1113,K�rcher,Industrials,Waste & disposal services,Winnenden,1935
1114,Katjes International,Market,Food retailers,Emmerich am Rhein,1972
1115,Kaufland,Consumer services,Food retailers & wholesalers,Neckarsulm,1985
1116,Keimfarben,Basic materials,Speciality chemicals,Diedorf,1878
1117,KfW,Financials,Banks,Frankfurt,1906
1118,Kl�ckner & Co SE,Industrials,Industrial machinery,Duisburg,1906
1119,Knorr,Consumer goods,Food products,Heilbronn,1838
1120,Knorr-Bremse,Industrials,Industrial suppliers,Munich,1905
1121,Koenig & Bauer,Industrials,Industrial machinery,W�rzburg,1817
1122,K�rber,Industrials,Industrial machinery,Hamburg,1995
1123,Krauss-Maffei,Industrials,Industrial machinery,Munich,1931
1124,Krombacher Brauerei,Consumer goods,Brewers,Kreuztal,1803
1125,Krones,Industrials,Industrial machinery,Neutraubling,1951
1126,KSB Company,Industrials,Industrial machinery,Frankenthal,1871
1127,KUKA,Industrials,Industrial machinery,Augsburg,1898
1128,Lamy,Consumer goods,Nondurable household products,Heidelberg,1930
1129,Lanxess,Basic materials,Speciality chemicals,Cologne,2004
1130,Leica Camera,Consumer goods,Recreational products,Wetzlar,1914
1131,Leidolf,Consumer goods,Recreational products,Wetzlar,1921
1132,Leoni AG,Industrials,Electrical components & equipment,Nuremberg,1917
1133,Lidl,Consumer services,Food retailers & wholesalers,Neckarsulm,1930
1134,Lindauer Dornier,Consumer goods,Clothing & accessories,Lindau,1985
1135,Linguatec,Technology,Software,Pasing,1996
1136,Linhof,Consumer goods,Recreational products,Munich,1887
1137,Loewe,Consumer goods,Consumer electronics,Kronach,1923
1138,L�wenbr�u,Consumer goods,Brewers,Munich,1383
1139,LSG Sky Chefs,Industrials,Transportation services,Neu-Isenburg,1942
1140,LTU International,Consumer services,Airlines,D�sseldorf,1955
1141,Lufthansa Group,Consumer services,Airlines,Cologne,1955
1142,L�rssen,Industrials,Commercial vehicles & trucks,Bremen-Vegesack,1875
1143,Magirus,Industrials,Commercial vehicles & trucks,Ulm,1866
1144,Magix,Technology,Software,Berlin,1994
1145,Mahle GmbH,Industrials,Industrial suppliers,Stuttgart,1920
1146,MAN,Industrials,Commercial Vehicles & Trucks,Munich,1758
1147,Mannesmann,Industrials,Diversified industrials,D�sseldorf,1890
1148,Mast-J�germeister,Consumer goods,Distillers & vintners,Wolfenb�ttel,1878
1149,Meindl,Consumer goods,Clothing & accessories,Kirchansch�ring,1683
1150,Meinl Percussion,Consumer goods,Recreational products,Gutenstetten,1951
1151,Meinl-Weston,Consumer goods,Recreational products,Geretsried,1810
1152,Meissen porcelain,Consumer goods,Durable household products,Meissen,1708
1153,Melitta,Consumer goods,Beverages,Minden,1908
1154,Mennekes,Industrials,Electrical components & equipment,Kirchhundem,1935
1155,Mercedes-AMG,Consumer goods,Automobiles,Affalterbach,1967
1156,Mercedes-Benz,Consumer goods,Automobiles,Stuttgart,1883
1157,Merck,Health care,Pharmaceuticals,Darmstadt,1668
1158,Messerschmitt,Industrials,Aerospace,Augsburg,1938
1159,Metro AG,Consumer services,Broadline retailers,D�sseldorf,1964
1160,Metz,Consumer goods,Consumer electronics,Zirndorf,1938
1161,Meyer Werft,Industrials,Commercial vehicles & trucks,Papenburg,1795
1162,Miele,Consumer goods,Consumer electronics,G�tersloh,1899
1163,Montblanc,Consumer goods,Nondurable household products,Hamburg,1906
1164,Munich Re,Financials,Reinsurance,Munich,1880
1165,M�ller,Consumer goods,Food products,Fischach,1896
1166,Nemetschek,Technology,Software,Munich,1963
1167,Nero AG,Technology,Software,Karlsruhe,1995
1168,Netto Marken-Discount,Consumer services,Food retailers & wholesalers,Maxh�tte-Haidhof,1984
1169,Nordzucker,Consumer goods,Food products,Braunschweig,1997
1170,NSU Motorenwerke,Consumer goods,Automobiles,Neckarsulm,1873
1171,Opel,Consumer goods,Automobiles,R�sselsheim am Main,1862
1172,Orenstein & Koppel,Industrials,Industrial vehicles & trucks,Berlin,1876
1173,Osram,Industrials,Building materials & fixtures,Munich,1919
1174,Otto GmbH,Consumer services,Broadline retailers,Hamburg,1949
1175,Otto Bock,Health care,Medical equipment,Duderstadt,1919
